depth (m),Ca (ppm),time (kyr),uncertainty (kyr)
228.85,243073.4,2019.33,63.98
228.95,229241.8,2018.28,63.96
229.05,216114.3,2017.24,63.95
229.15,184453.5,2016.20,63.93
229.25,179498.5,2015.17,63.91
229.35,195893.1,2014.13,63.90
229.45,173286.0,2013.08,63.88
229.55,174934.5,2012.04,63.86
229.65,175335.6,2011.00,63.85
229.75,188475.5,2009.95,63.83
229.85,189836.8,2008.91,63.81
229.95,203732.9,2007.87,63.80
230.05,189669.1,2006.82,63.78
230.15,190734.1,2005.78,63.76
230.25,196607.8,2004.74,63.75
230.35,181723.9,2003.69,63.73
230.45,177236.3,2002.65,63.71
230.55,175240.5,2001.61,63.70
230.65,174559.8,2000.56,63.68
230.75,169915.8,1999.52,63.66
230.85,169031.8,1998.48,63.65
230.95,174605.6,1997.43,63.63
231.05,173569.8,1996.39,63.61
231.15,180825.8,1995.35,63.60
231.25,185497.4,1994.30,63.58
231.35,175605.5,1993.26,63.56
231.45,171270.1,1992.22,63.55
231.55,175875.3,1991.17,63.53
231.65,165940.2,1990.13,63.51
231.75,160438.9,1989.09,63.50
231.85,151790.9,1988.06,63.48
231.95,147583.1,1987.04,63.46
232.05,154778.1,1986.02,63.45
232.15,156720.0,1985.00,63.43
232.25,179880.9,1983.98,63.42
232.35,187047.1,1982.96,63.40
232.45,185644.7,1981.94,63.38
232.55,199757.7,1980.92,63.37
232.65,196780.6,1979.89,63.35
232.75,189149.0,1978.87,63.33
232.85,192377.2,1977.85,63.32
232.95,208468.0,1976.83,63.30
233.05,212907.8,1975.81,63.29
233.15,196635.9,1974.79,63.27
233.25,174305.2,1973.76,63.25
233.35,177784.4,1972.72,63.24
233.45,169537.9,1971.68,63.22
233.55,173108.1,1970.65,63.20
233.65,187289.8,1969.62,63.19
233.75,190142.1,1968.60,63.17
233.85,184197.8,1967.58,63.15
233.95,176933.0,1966.56,63.14
234.05,202526.9,1965.54,63.12
234.15,192380.4,1964.52,63.10
234.25,203225.4,1963.49,63.09
234.35,201272.6,1962.47,63.07
234.45,189428.2,1961.45,63.05
234.55,182565.9,1960.43,63.04
234.65,170887.1,1959.41,63.02
234.75,162200.8,1958.39,63.01
234.85,152197.8,1957.37,62.99
234.95,143210.8,1956.35,62.97
235.05,148421.8,1955.32,62.96
235.15,146352.0,1954.30,62.94
235.25,154411.4,1953.28,62.92
235.35,155518.4,1952.26,62.91
235.45,152361.2,1951.24,62.89
235.55,146917.3,1950.22,62.87
235.65,157350.6,1949.20,62.86
235.75,170816.4,1948.18,62.84
235.85,165294.2,1947.16,62.82
235.95,169914.4,1946.15,62.81
236.05,183618.0,1945.12,62.79
236.15,165966.1,1944.10,62.78
236.25,185280.9,1943.08,62.76
236.35,188364.2,1942.06,62.74
236.45,164268.2,1941.03,62.73
236.55,180757.4,1940.01,62.71
236.65,198521.2,1938.98,62.69
236.75,170976.7,1937.95,62.68
236.85,161834.3,1936.92,62.66
236.95,142931.0,1935.88,62.64
237.05,132081.3,1934.85,62.63
237.15,131370.4,1933.81,62.61
237.25,111896.6,1932.77,62.59
237.35,128378.1,1931.72,62.58
237.45,122282.2,1930.68,62.56
237.55,136040.0,1929.63,62.54
237.65,139484.6,1928.59,62.52
237.75,129998.9,1927.54,62.51
237.85,178750.2,1926.49,62.49
237.95,184707.4,1925.43,62.47
238.05,183679.3,1924.38,62.46
238.15,126152.6,1923.32,62.44
238.25,122770.5,1922.26,62.42
238.35,118312.5,1921.20,62.40
238.45,108591.4,1920.13,62.39
238.55,117327.1,1919.07,62.37
238.65,136711.3,1918.00,62.35
238.75,132533.6,1916.93,62.34
238.85,148196.8,1915.86,62.32
238.95,165007.0,1914.79,62.30
239.05,126719.7,1913.71,62.28
239.15,132669.4,1912.63,62.27
239.25,153197.1,1911.55,62.25
239.35,151260.1,1910.47,62.23
239.45,155044.1,1909.39,62.21
239.55,136152.5,1908.30,62.19
239.65,135153.3,1907.22,62.18
239.75,134572.0,1906.13,62.16
239.85,134673.0,1905.04,62.14
239.95,128022.6,1903.94,62.12
240.05,148765.7,1902.85,62.11
240.15,143711.8,1901.75,62.09
240.25,146790.7,1900.65,62.07
240.35,149578.2,1899.55,62.05
240.45,168614.5,1898.45,62.03
240.55,183528.4,1897.35,62.02
240.65,188346.9,1896.24,62.00
240.75,170310.9,1895.13,61.98
240.85,160196.2,1894.02,61.96
240.95,168369.0,1892.91,61.94
241.05,170777.4,1891.79,61.93
241.15,177131.5,1890.68,61.91
241.25,187881.8,1889.56,61.89
241.35,200753.5,1888.44,61.87
241.45,220774.7,1887.32,61.85
241.55,213100.5,1886.19,61.83
241.65,203928.4,1885.07,61.81
241.75,204484.6,1883.94,61.80
241.85,227177.9,1882.81,61.78
241.95,250970.8,1881.68,61.76
242.05,239539.7,1880.54,61.74
242.15,257437.9,1879.41,61.72
242.25,266556.5,1878.27,61.70
242.35,268615.0,1877.13,61.68
242.45,266127.0,1875.99,61.67
242.55,282334.9,1874.84,61.65
242.65,264535.9,1873.70,61.63
242.75,258368.7,1872.55,61.61
242.85,271134.3,1871.40,61.59
242.95,265246.0,1870.25,61.57
243.05,269887.6,1869.10,61.55
243.15,250370.1,1867.94,61.53
243.25,244083.5,1866.78,61.51
243.35,244397.0,1865.63,61.50
243.45,254547.3,1864.46,61.48
243.55,251804.1,1863.30,61.46
243.65,252943.9,1862.14,61.44
243.75,254667.3,1860.97,61.42
243.85,256688.8,1859.80,61.40
243.95,249019.3,1858.63,61.38
244.05,232641.1,1857.46,61.36
244.15,265543.5,1856.28,61.34
244.25,235559.0,1855.10,61.32
244.35,220163.4,1853.93,61.30
244.45,215484.2,1852.74,61.28
244.55,192346.5,1851.56,61.26
244.65,207571.5,1850.38,61.24
244.75,219974.8,1849.19,61.22
244.85,191727.0,1848.00,61.20
244.95,188266.4,1846.81,61.18
245.05,179756.8,1845.62,61.16
245.15,166587.8,1844.42,61.14
245.25,203552.3,1843.23,61.13
245.35,229380.7,1842.03,61.11
245.45,254108.9,1840.83,61.09
245.55,238637.3,1839.63,61.07
245.65,259704.4,1838.43,61.05
245.75,239557.6,1837.23,61.03
245.85,239967.9,1836.04,61.01
245.95,241798.6,1834.84,60.99
246.05,197759.4,1833.64,60.97
