depth (m),RAPS (ohm.m),time (kyr),uncertainty (kyr)
230.1,13.3,2051.46,64.49
230.2,13.6,2050.47,64.47
230.3,13.8,2049.47,64.45
230.4,13.9,2048.47,64.44
230.5,13.8,2047.47,64.42
230.6,13.5,2046.47,64.41
230.7,13.1,2045.47,64.39
230.8,12.6,2044.47,64.38
230.9,12.2,2043.47,64.36
231,11.8,2042.47,64.34
231.1,11.7,2041.47,64.33
231.2,11.8,2040.48,64.31
231.3,12.1,2039.48,64.3
231.4,12.4,2038.48,64.28
231.5,12.7,2037.48,64.27
231.6,13,2036.48,64.25
231.7,13.3,2035.48,64.23
231.8,13.5,2034.48,64.22
231.9,13.5,2033.48,64.2
232,13.2,2032.48,64.19
232.1,12.8,2031.48,64.17
232.2,12.3,2030.49,64.15
232.3,11.8,2029.49,64.14
232.4,11.3,2028.49,64.12
232.5,11.1,2027.49,64.11
232.6,11.1,2026.49,64.09
232.7,11.2,2025.49,64.08
232.8,11.5,2024.49,64.06
232.9,11.8,2023.49,64.04
233,12,2022.49,64.03
233.1,12.1,2021.49,64.01
233.2,12.1,2020.5,64
233.3,12.1,2019.5,63.98
233.4,12.1,2018.5,63.97
233.5,12.1,2017.5,63.95
233.6,12.1,2016.5,63.93
233.7,12.1,2015.5,63.92
233.8,12.1,2014.5,63.9
233.9,12.1,2013.5,63.89
234,12.1,2012.5,63.87
234.1,12.1,2011.5,63.85
234.2,12,2010.49,63.84
234.3,11.8,2009.45,63.82
234.4,11.3,2008.42,63.81
234.5,10.9,2007.38,63.79
234.6,10.4,2006.34,63.77
234.7,10.1,2005.31,63.76
234.8,9.8,2004.27,63.74
234.9,9.8,2003.24,63.72
235,9.9,2002.2,63.71
235.1,10.2,2001.16,63.69
235.2,10.5,2000.13,63.67
235.3,10.9,1999.09,63.66
235.4,11.3,1998.06,63.64
235.5,11.7,1997.02,63.62
235.6,11.7,1995.98,63.61
235.7,11.5,1994.95,63.59
235.8,11.1,1993.89,63.57
235.9,10.7,1992.82,63.56
236,10.4,1991.75,63.54
236.1,10.3,1990.67,63.52
236.2,10.5,1989.6,63.51
236.3,10.7,1988.53,63.49
236.4,10.9,1987.45,63.47
236.5,11,1986.38,63.45
236.6,11.1,1985.31,63.44
236.7,11.2,1984.24,63.42
236.8,11.3,1983.16,63.4
236.9,11.5,1982.09,63.39
237,11.5,1981.02,63.37
237.1,11.3,1979.94,63.35
237.2,11.2,1978.87,63.33
237.3,11,1977.8,63.32
237.4,10.8,1976.72,63.3
237.5,10.6,1975.65,63.28
237.6,10.5,1974.56,63.27
237.7,10.5,1973.45,63.25
237.8,10.6,1972.34,63.23
237.9,10.7,1971.23,63.21
238,10.9,1970.12,63.19
238.1,11.1,1969.01,63.18
238.2,11.5,1967.9,63.16
238.3,11.8,1966.79,63.14
238.4,12,1965.68,63.12
238.5,12.1,1964.57,63.1
238.6,12.1,1963.46,63.09
238.7,12.1,1962.35,63.07
238.8,12,1961.24,63.05
238.9,11.9,1960.13,63.03
239,11.9,1959.02,63.02
239.1,12,1957.91,63
239.2,12.3,1956.8,62.98
239.3,12.6,1955.69,62.96
239.4,13,1954.58,62.94
239.5,13.2,1953.47,62.93
239.6,13.4,1952.36,62.91
239.7,13.7,1951.25,62.89
239.8,14.1,1950.14,62.87
239.9,14.5,1949.03,62.85
240,15.1,1947.92,62.84
240.1,15.8,1946.81,62.82
240.2,16.6,1945.7,62.8
240.3,17.2,1944.59,62.78
240.4,17.6,1943.48,62.77
240.5,17.8,1942.37,62.75
240.6,17.8,1941.26,62.73
240.7,17.6,1940.15,62.71
240.8,17.2,1939.04,62.69
240.9,16.7,1937.93,62.68
241,16.2,1936.82,62.66
241.1,15.8,1935.71,62.64
241.2,15.5,1934.6,62.62
241.3,15.3,1933.49,62.6
241.4,15.2,1932.38,62.59
241.5,15.2,1931.27,62.57
241.6,15.2,1930.16,62.55
241.7,15.2,1929.05,62.53
241.8,15.2,1927.94,62.51
241.9,15.1,1926.83,62.5
242,14.8,1925.72,62.48
242.1,14.3,1924.61,62.46
242.2,13.8,1923.5,62.44
242.3,13.4,1922.39,62.42
242.4,13,1921.28,62.41
242.5,12.7,1920.17,62.39
242.6,12.5,1919.06,62.37
242.7,12.4,1917.95,62.35
242.8,12.4,1916.84,62.33
242.9,12.5,1915.73,62.32
243,12.7,1914.62,62.3
243.1,13.1,1913.51,62.28
243.2,13.6,1912.4,62.26
243.3,14.3,1911.29,62.24
243.4,15.1,1910.18,62.23
243.5,15.8,1909.07,62.21
243.6,16.2,1907.96,62.19
243.7,16.2,1906.85,62.17
243.8,15.8,1905.74,62.15
243.9,15.1,1904.63,62.13
244,14.3,1903.52,62.12
244.1,13.6,1902.41,62.1
244.2,13.1,1901.3,62.08
244.3,12.7,1900.19,62.06
244.4,12.4,1899.08,62.04
244.5,12.2,1897.97,62.03
244.6,12,1896.86,62.01
244.7,11.9,1895.75,61.99
244.8,11.7,1894.62,61.97
244.9,11.6,1893.47,61.95
245,11.5,1892.33,61.93
245.1,11.5,1891.18,61.92
245.2,11.5,1890.03,61.9
245.3,11.6,1888.89,61.88
245.4,11.8,1887.74,61.86
245.5,12.1,1886.59,61.84
245.6,12.4,1885.45,61.82
245.7,12.6,1884.3,61.8
245.8,12.8,1883.15,61.78
245.9,12.9,1882,61.76
246,13,1880.86,61.75
246.1,13,1879.71,61.73
246.2,13,1878.56,61.71
246.3,13,1877.42,61.69
246.4,13.1,1876.27,61.67
246.5,13.2,1875.12,61.65
246.6,13.3,1873.98,61.63
246.7,13.3,1872.83,61.61
246.8,13.3,1871.68,61.6
246.9,13.3,1870.53,61.58
247,13.2,1869.39,61.56
247.1,13,1868.24,61.54
247.2,12.7,1867.09,61.52
247.3,12.5,1865.95,61.5
247.4,12.3,1864.8,61.48
